overall_qual,gr_liv_area,exter_qual,kitchen_qual,total_bsmt_sf,garage_area,garage_cars,1st_flr_sf,bsmt_qual,year_built,garage_finish,garage_yr_blt,year_remod/add,fireplace_qu,full_bath,foundation_PConc,mas_vnr_area,totrms_abvgrd
6,1479,4,4,725.0,475.0,2.0,725,3,1976,2,1976.0,2005,0,2,0,289.0,6
7,2122,4,4,913.0,559.0,2.0,913,4,1996,2,1997.0,1997,3,2,1,132.0,8
5,1057,3,4,1057.0,246.0,1.0,1057,3,1953,1,1953.0,2007,0,1,0,0.0,5
5,1444,3,3,384.0,400.0,2.0,744,4,2006,3,2007.0,2007,0,2,1,0.0,7
6,1445,3,3,676.0,484.0,2.0,831,2,1900,1,1957.0,1993,0,2,1,0.0,6
6,1888,4,4,1517.0,578.0,2.0,1888,3,1966,3,1966.0,2002,4,2,0,0.0,6
6,1072,3,3,547.0,525.0,2.0,1072,4,2005,3,2005.0,2006,0,2,1,82.0,5
5,1188,3,3,1188.0,531.0,2.0,1188,3,1959,2,1959.0,1959,0,1,0,180.0,6
5,924,3,3,924.0,420.0,1.0,924,3,1952,1,1952.0,1952,0,1,0,0.0,6
5,2080,3,2,1040.0,504.0,2.0,1040,4,1969,1,1969.0,1969,3,1,1,192.0,9
6,987,3,3,483.0,264.0,1.0,483,3,1971,1,1971.0,1971,0,1,0,232.0,4
7,1208,4,4,1208.0,632.0,2.0,1208,4,2005,2,2005.0,2005,0,2,1,0.0,6
5,2016,4,3,0.0,576.0,2.0,1288,0,1880,1,1900.0,2007,3,1,1,0.0,7
8,1607,4,4,960.0,480.0,2.0,962,4,1999,1,2000.0,2000,0,2,1,456.0,7
7,1361,4,4,1351.0,610.0,2.0,1361,4,2007,2,2007.0,2007,0,2,1,0.0,6
5,1430,3,4,1430.0,624.0,2.0,1430,5,2004,2,2004.0,2005,0,2,1,0.0,7
5,1344,3,3,624.0,513.0,3.0,624,3,1916,1,1916.0,1950,0,1,0,0.0,7
5,1121,3,3,1121.0,480.0,2.0,1121,3,1963,1,1963.0,1963,0,1,1,0.0,5
6,1285,3,3,660.0,528.0,2.0,1285,3,1977,2,1977.0,1977,3,1,0,148.0,7
7,1547,3,4,756.0,614.0,2.0,764,4,2009,1,2009.0,2009,0,2,1,0.0,7
5,894,3,3,894.0,450.0,2.0,894,4,1968,3,1968.0,1968,1,1,0,0.0,5
8,1659,4,5,1501.0,499.0,2.0,1659,4,2000,3,2000.0,2000,5,2,1,0.0,5
8,2253,4,5,1209.0,575.0,2.0,1209,5,2005,3,2005.0,2006,4,2,1,0.0,8
6,1187,3,3,1168.0,420.0,2.0,1187,4,1992,3,1992.0,2007,0,2,1,0.0,6
5,1056,3,3,1056.0,572.0,2.0,1056,3,1955,3,1955.0,1955,0,1,0,0.0,5
6,1453,3,3,1453.0,530.0,2.0,1453,3,1961,2,1961.0,1961,3,2,0,3.0,6
5,894,3,3,894.0,336.0,1.0,894,3,1965,1,1973.0,2009,4,1,0,0.0,5
5,1938,3,4,942.0,240.0,1.0,1265,3,1937,1,1937.0,1995,4,2,0,0.0,7
5,1991,3,3,957.0,0.0,0.0,1034,3,1895,0,1895.0,2006,0,2,0,0.0,9
5,924,3,3,672.0,576.0,2.0,672,3,1949,1,2003.0,2006,1,1,0,0.0,6
8,2524,4,4,2524.0,542.0,2.0,2524,4,1981,3,1981.0,1981,4,2,1,0.0,9
8,1517,3,4,792.0,400.0,2.0,792,4,1929,1,1931.0,1950,4,1,1,0.0,7
8,1494,4,5,1494.0,481.0,2.0,1494,4,1995,3,1995.0,1996,4,1,1,0.0,6
6,948,3,3,948.0,410.0,2.0,948,3,1952,1,1952.0,1952,0,1,0,0.0,5
8,1718,4,4,1705.0,826.0,3.0,1718,5,2007,2,2007.0,2008,4,2,1,336.0,7
6,1142,3,3,160.0,384.0,1.0,1142,4,1958,2,1958.0,1958,4,1,0,82.0,5
5,1475,3,3,757.0,336.0,1.0,925,3,1977,2,1977.0,1977,3,2,1,0.0,6
6,1844,3,3,1844.0,546.0,2.0,1844,4,1977,2,1977.0,1977,3,2,0,480.0,7
7,1242,3,3,1242.0,528.0,2.0,1242,3,1973,1,1973.0,1973,3,1,0,320.0,6
5,990,3,3,990.0,384.0,1.0,990,4,1994,1,1995.0,1994,0,1,1,0.0,5
5,1256,4,3,1256.0,276.0,1.0,1256,3,1965,3,1965.0,1965,0,1,0,0.0,6
10,2076,5,5,2076.0,850.0,3.0,2076,5,2006,3,2006.0,2006,4,2,1,0.0,7
5,1110,3,4,1097.0,602.0,2.0,1110,4,1978,3,1978.0,1978,3,1,1,104.0,4
5,1795,3,3,1050.0,352.0,1.0,1050,3,1954,1,1954.0,1954,0,2,0,335.0,7
5,1040,3,3,1040.0,384.0,1.0,1040,3,1965,1,1965.0,1965,0,1,0,0.0,5
8,1873,3,3,608.0,786.0,2.0,983,3,1935,3,1935.0,1950,4,1,1,40.0,9
