overall_qual gr_liv_area,overall_qual year_built,overall_qual garage_yr_blt,overall_qual year_remod/add,overall_qual,overall_qual kitchen_qual,gr_liv_area bsmt_qual,overall_qual^2,overall_qual exter_qual,gr_liv_area exter_qual,overall_qual bsmt_qual,overall_qual garage_cars,gr_liv_area kitchen_qual,overall_qual 1st_flr_sf,overall_qual garage_area,overall_qual total_bsmt_sf,overall_qual totrms_abvgrd,overall_qual heating_qc,gr_liv_area garage_cars,kitchen_qual garage_cars,gr_liv_area heating_qc,garage_cars bsmt_qual,1st_flr_sf bsmt_qual,garage_area bsmt_qual,exter_qual garage_cars,gr_liv_area garage_area,gr_liv_area total_bsmt_sf,overall_qual full_bath,kitchen_qual bsmt_qual,total_bsmt_sf garage_cars,kitchen_qual garage_area,kitchen_qual total_bsmt_sf,total_bsmt_sf bsmt_qual,gr_liv_area garage_finish,exter_qual garage_area
8874.0,11856.0,11856.0,12030.0,6.0,24.0,4437.0,36.0,24.0,5916.0,18.0,12.0,5916.0,4350.0,2850.0,4350.0,36.0,30.0,2958.0,8.0,7395.0,6.0,2175.0,1425.0,8.0,702525.0,1072275.0,12.0,12.0,1450.0,1900.0,2900.0,2175.0,2958.0,1900.0
14854.0,13972.0,13979.0,13979.0,7.0,28.0,8488.0,49.0,28.0,8488.0,28.0,14.0,8488.0,6391.0,3913.0,6391.0,56.0,35.0,4244.0,8.0,10610.0,8.0,3652.0,2236.0,8.0,1186198.0,1937386.0,14.0,16.0,1826.0,2236.0,3652.0,3652.0,4244.0,2236.0
5285.0,9765.0,9765.0,10035.0,5.0,20.0,3171.0,25.0,15.0,3171.0,15.0,5.0,4228.0,5285.0,1230.0,5285.0,25.0,15.0,1057.0,4.0,3171.0,3.0,3171.0,738.0,3.0,260022.0,1117249.0,5.0,12.0,1057.0,984.0,4228.0,3171.0,1057.0,738.0
7220.0,10030.0,10035.0,10035.0,5.0,15.0,5776.0,25.0,15.0,4332.0,20.0,10.0,4332.0,3720.0,2000.0,1920.0,35.0,20.0,2888.0,6.0,5776.0,8.0,2976.0,1600.0,6.0,577600.0,554496.0,10.0,12.0,768.0,1200.0,1152.0,1536.0,4332.0,1200.0
8670.0,11400.0,11742.0,11958.0,6.0,18.0,2890.0,36.0,18.0,4335.0,12.0,12.0,4335.0,4986.0,2904.0,4056.0,36.0,18.0,2890.0,6.0,4335.0,4.0,1662.0,968.0,6.0,699380.0,976820.0,12.0,6.0,1352.0,1452.0,2028.0,1352.0,1445.0,1452.0
11328.0,11796.0,11796.0,12012.0,6.0,24.0,5664.0,36.0,24.0,7552.0,18.0,12.0,7552.0,11328.0,3468.0,9102.0,36.0,30.0,3776.0,8.0,9440.0,6.0,5664.0,1734.0,8.0,1091264.0,2864096.0,12.0,12.0,3034.0,2312.0,6068.0,4551.0,5664.0,2312.0
6432.0,12030.0,12030.0,12036.0,6.0,18.0,4288.0,36.0,18.0,3216.0,24.0,12.0,3216.0,6432.0,3150.0,3282.0,30.0,24.0,2144.0,6.0,4288.0,8.0,4288.0,2100.0,6.0,562800.0,586384.0,12.0,12.0,1094.0,1575.0,1641.0,2188.0,3216.0,1575.0
5940.0,9795.0,9795.0,9795.0,5.0,15.0,3564.0,25.0,15.0,3564.0,15.0,10.0,3564.0,5940.0,2655.0,5940.0,30.0,10.0,2376.0,6.0,2376.0,6.0,3564.0,1593.0,6.0,630828.0,1411344.0,5.0,9.0,2376.0,1593.0,3564.0,3564.0,2376.0,1593.0
4620.0,9760.0,9760.0,9760.0,5.0,15.0,2772.0,25.0,15.0,2772.0,15.0,5.0,2772.0,4620.0,2100.0,4620.0,30.0,15.0,924.0,3.0,2772.0,3.0,2772.0,1260.0,3.0,388080.0,853776.0,5.0,9.0,924.0,1260.0,2772.0,2772.0,924.0,1260.0
10400.0,9845.0,9845.0,9845.0,5.0,10.0,8320.0,25.0,15.0,6240.0,20.0,10.0,4160.0,5200.0,2520.0,5200.0,45.0,15.0,4160.0,4.0,6240.0,8.0,4160.0,2016.0,6.0,1048320.0,2163200.0,5.0,8.0,2080.0,1008.0,2080.0,4160.0,2080.0,1512.0
