overall_qual,gr_liv_area,exter_qual,kitchen_qual,total_bsmt_sf,garage_area,garage_cars,1st_flr_sf,bsmt_qual,year_built,garage_finish,garage_yr_blt,year_remod/add,fireplace_qu,full_bath,foundation_PConc,mas_vnr_area,totrms_abvgrd
6,1928,3,2,1020,440,1,908,2,1910,1,1910.0,1950,0,2,0,0.0,9
5,1967,3,3,1967,580,2,1967,4,1977,3,1977.0,1977,0,2,0,0.0,10
7,1496,4,4,654,426,2,664,4,2006,2,2006.0,2006,4,2,1,0.0,7
5,968,4,3,968,480,2,968,3,1923,1,1935.0,2006,0,1,0,0.0,5
6,1394,3,3,1394,514,2,1394,4,1963,2,1963.0,1963,4,1,0,247.0,6
4,1092,3,3,546,286,1,546,3,1972,1,1972.0,1972,0,1,0,0.0,5
4,1093,3,3,869,308,1,1093,3,1958,1,1959.0,2006,0,1,0,0.0,5
5,1268,3,4,1268,252,1,1268,4,1977,1,1978.0,1989,0,1,0,0.0,5
7,1680,4,4,840,588,2,840,4,2004,2,2004.0,2004,0,2,1,0.0,3
6,1279,3,3,1196,473,2,1279,3,1977,1,1980.0,1977,2,2,0,0.0,6
6,1217,4,4,1217,484,2,1217,4,1991,2,1991.0,1991,0,2,1,0.0,5
6,1040,3,3,1040,320,2,1040,3,1925,1,1993.0,1992,0,1,0,0.0,5
6,1375,3,3,1367,451,2,1375,3,1954,1,1954.0,1954,3,1,0,0.0,5
7,2787,3,3,1168,820,4,1168,5,2000,3,2000.0,2000,3,4,1,23.0,8
6,1827,3,3,848,240,1,1017,3,1924,1,1943.0,1996,4,1,0,0.0,9
5,1340,3,3,0,252,1,1340,0,1957,2,1957.0,2006,4,1,1,98.0,7
6,1436,3,3,884,828,2,884,3,1940,1,1940.0,1950,4,2,0,0.0,8
5,1073,3,3,1073,340,1,1073,3,1956,1,1956.0,1956,0,1,0,0.0,5
6,1773,3,3,1313,418,2,1773,3,1961,2,1961.0,1992,3,2,0,104.0,6
8,1742,4,4,916,424,2,916,3,1882,1,1925.0,1986,4,1,0,0.0,8
5,1060,3,4,1060,270,1,1060,3,1968,1,1968.0,2001,3,1,0,0.0,6
5,864,3,3,864,732,2,864,3,1961,1,1982.0,1961,0,1,0,0.0,5
