overall_qual gr_liv_area,overall_qual year_built,overall_qual garage_yr_blt,overall_qual year_remod/add,overall_qual,overall_qual kitchen_qual,gr_liv_area bsmt_qual,overall_qual^2,overall_qual exter_qual,gr_liv_area exter_qual,overall_qual bsmt_qual,overall_qual garage_cars,gr_liv_area kitchen_qual,overall_qual 1st_flr_sf,overall_qual garage_area,overall_qual total_bsmt_sf,overall_qual totrms_abvgrd,overall_qual heating_qc,gr_liv_area garage_cars,kitchen_qual garage_cars,gr_liv_area heating_qc,garage_cars bsmt_qual,1st_flr_sf bsmt_qual,garage_area bsmt_qual,exter_qual garage_cars,gr_liv_area garage_area,gr_liv_area total_bsmt_sf,overall_qual full_bath,kitchen_qual bsmt_qual,total_bsmt_sf garage_cars,kitchen_qual garage_area,kitchen_qual total_bsmt_sf,total_bsmt_sf bsmt_qual,gr_liv_area garage_finish,exter_qual garage_area
11568.0,11460.0,11460.0,11700.0,6.0,12.0,3856.0,36.0,18.0,5784.0,12.0,6.0,3856.0,5448.0,2640.0,6120.0,54.0,24.0,1928.0,2.0,7712.0,2.0,1816.0,880.0,3.0,848320.0,1966560.0,12.0,4.0,1020.0,880.0,2040.0,2040.0,1928.0,1320.0
9835.0,9885.0,9885.0,9885.0,5.0,15.0,7868.0,25.0,15.0,5901.0,20.0,10.0,5901.0,9835.0,2900.0,9835.0,50.0,15.0,3934.0,6.0,5901.0,8.0,7868.0,2320.0,6.0,1140860.0,3869089.0,10.0,12.0,3934.0,1740.0,5901.0,7868.0,5901.0,1740.0
10472.0,14042.0,14042.0,14042.0,7.0,28.0,5984.0,49.0,28.0,5984.0,28.0,14.0,5984.0,4648.0,2982.0,4578.0,49.0,35.0,2992.0,8.0,7480.0,8.0,2656.0,1704.0,8.0,637296.0,978384.0,14.0,16.0,1308.0,1704.0,2616.0,2616.0,2992.0,1704.0
4840.0,9615.0,9675.0,10030.0,5.0,15.0,2904.0,25.0,20.0,3872.0,15.0,10.0,2904.0,4840.0,2400.0,4840.0,25.0,15.0,1936.0,6.0,2904.0,6.0,2904.0,1440.0,8.0,464640.0,937024.0,5.0,9.0,1936.0,1440.0,2904.0,2904.0,968.0,1920.0
8364.0,11778.0,11778.0,11778.0,6.0,18.0,5576.0,36.0,18.0,4182.0,24.0,12.0,4182.0,8364.0,3084.0,8364.0,36.0,24.0,2788.0,6.0,5576.0,8.0,5576.0,2056.0,6.0,716516.0,1943236.0,6.0,12.0,2788.0,1542.0,4182.0,5576.0,2788.0,1542.0
4368.0,7888.0,7888.0,7888.0,4.0,12.0,3276.0,16.0,12.0,3276.0,12.0,4.0,3276.0,2184.0,1144.0,2184.0,20.0,12.0,1092.0,3.0,3276.0,3.0,1638.0,858.0,3.0,312312.0,596232.0,4.0,9.0,546.0,858.0,1638.0,1638.0,1092.0,858.0
4372.0,7832.0,7836.0,8024.0,4.0,12.0,3279.0,16.0,12.0,3279.0,12.0,4.0,3279.0,4372.0,1232.0,3476.0,20.0,12.0,1093.0,3.0,3279.0,3.0,3279.0,924.0,3.0,336644.0,949817.0,4.0,9.0,869.0,924.0,2607.0,2607.0,1093.0,924.0
6340.0,9885.0,9890.0,9945.0,5.0,20.0,5072.0,25.0,15.0,3804.0,20.0,5.0,5072.0,6340.0,1260.0,6340.0,25.0,15.0,1268.0,4.0,3804.0,4.0,5072.0,1008.0,3.0,319536.0,1607824.0,5.0,16.0,1268.0,1008.0,5072.0,5072.0,1268.0,756.0
11760.0,14028.0,14028.0,14028.0,7.0,28.0,6720.0,49.0,28.0,6720.0,28.0,14.0,6720.0,5880.0,4116.0,5880.0,21.0,35.0,3360.0,8.0,8400.0,8.0,3360.0,2352.0,8.0,987840.0,1411200.0,14.0,16.0,1680.0,2352.0,3360.0,3360.0,3360.0,2352.0
7674.0,11862.0,11880.0,11862.0,6.0,18.0,3837.0,36.0,18.0,3837.0,18.0,12.0,3837.0,7674.0,2838.0,7176.0,36.0,18.0,2558.0,6.0,3837.0,6.0,3837.0,1419.0,6.0,604967.0,1529684.0,12.0,9.0,2392.0,1419.0,3588.0,3588.0,1279.0,1419.0
7302.0,11946.0,11946.0,11946.0,6.0,24.0,4868.0,36.0,24.0,4868.0,24.0,12.0,4868.0,7302.0,2904.0,7302.0,30.0,24.0,2434.0,8.0,4868.0,8.0,4868.0,1936.0,8.0,589028.0,1481089.0,12.0,16.0,2434.0,1936.0,4868.0,4868.0,2434.0,1936.0
6240.0,11550.0,11958.0,11952.0,6.0,18.0,3120.0,36.0,18.0,3120.0,18.0,12.0,3120.0,6240.0,1920.0,6240.0,30.0,24.0,2080.0,6.0,4160.0,6.0,3120.0,960.0,6.0,332800.0,1081600.0,6.0,9.0,2080.0,960.0,3120.0,3120.0,1040.0,960.0
8250.0,11724.0,11724.0,11724.0,6.0,18.0,4125.0,36.0,18.0,4125.0,18.0,12.0,4125.0,8250.0,2706.0,8202.0,30.0,30.0,2750.0,6.0,6875.0,6.0,4125.0,1353.0,6.0,620125.0,1879625.0,6.0,9.0,2734.0,1353.0,4101.0,4101.0,1375.0,1353.0
19509.0,14000.0,14000.0,14000.0,7.0,21.0,13935.0,49.0,21.0,8361.0,35.0,28.0,8361.0,8176.0,5740.0,8176.0,56.0,35.0,11148.0,12.0,13935.0,20.0,5840.0,4100.0,12.0,2285340.0,3255216.0,28.0,15.0,4672.0,2460.0,3504.0,5840.0,8361.0,2460.0
