year_remod/add,sale_type_New,overall_qual^2,overall_qual exter_qual,overall_qual garage_area,overall_qual garage_cars,overall_qual garage_yr_blt,overall_qual heating_qc,gr_liv_area totrms_abvgrd,gr_liv_area fireplaces,exter_qual garage_type_Detchd,total_bsmt_sf year_remod/add,total_bsmt_sf garage_type_Detchd,garage_area garage_yr_blt,garage_area open_porch_sf,garage_cars garage_yr_blt,1st_flr_sf fireplace_qu,1st_flr_sf garage_type_Detchd,year_built bsmtfin_type_1,year_built wood_deck_sf,garage_finish foundation_PConc,garage_finish garage_type_Attchd,garage_finish foundation_CBlock,year_remod/add^2,sale_type_New^2,garage_type_Attchd lot_area,lot_area^2,lot_area garage_type_Detchd
1950.0,0.0,36.0,18.0,2640.0,6.0,11460.0,24.0,17352.0,0.0,3.0,1989000.0,1020.0,840400.0,26400.0,1910.0,0.0,908.0,1910.0,0.0,0.0,0.0,0.0,3802500.0,0.0,0.0,83576164.0,9142.0
1977.0,0.0,25.0,15.0,2900.0,10.0,9885.0,15.0,19670.0,0.0,0.0,3888759.0,0.0,1146660.0,0.0,3954.0,0.0,0.0,1977.0,336090.0,0.0,3.0,3.0,3908529.0,0.0,9662.0,93354244.0,0.0
2006.0,1.0,49.0,28.0,2982.0,14.0,14042.0,35.0,10472.0,1496.0,0.0,1311924.0,0.0,854556.0,10224.0,4012.0,2656.0,0.0,12036.0,200600.0,2.0,2.0,0.0,4024036.0,1.0,17104.0,292546816.0,0.0
2006.0,0.0,25.0,20.0,2400.0,10.0,9675.0,15.0,4840.0,0.0,4.0,1941808.0,968.0,928800.0,0.0,3870.0,0.0,968.0,1923.0,0.0,0.0,0.0,1.0,4024036.0,0.0,0.0,72590400.0,8520.0
1963.0,0.0,36.0,18.0,3084.0,12.0,11778.0,24.0,8364.0,2788.0,0.0,2736422.0,0.0,1008982.0,39064.0,3926.0,5576.0,0.0,7852.0,0.0,0.0,2.0,2.0,3853369.0,0.0,9500.0,90250000.0,0.0
1972.0,0.0,16.0,12.0,1144.0,4.0,7888.0,12.0,5460.0,0.0,0.0,1076712.0,0.0,563992.0,0.0,1972.0,0.0,0.0,5916.0,0.0,0.0,1.0,1.0,3888784.0,0.0,1890.0,3572100.0,0.0
2006.0,0.0,16.0,12.0,1232.0,4.0,7836.0,12.0,5465.0,0.0,3.0,1743214.0,869.0,603372.0,0.0,1959.0,0.0,1093.0,1958.0,0.0,0.0,0.0,1.0,4024036.0,0.0,0.0,72522256.0,8516.0
1989.0,0.0,25.0,15.0,1260.0,5.0,9890.0,15.0,6340.0,0.0,3.0,2522052.0,1268.0,498456.0,0.0,1978.0,0.0,1268.0,9885.0,342021.0,0.0,0.0,1.0,3956121.0,0.0,0.0,86229796.0,9286.0
2004.0,0.0,49.0,28.0,4116.0,14.0,14028.0,35.0,5040.0,0.0,0.0,1683360.0,0.0,1178352.0,65268.0,4008.0,0.0,0.0,2004.0,0.0,2.0,2.0,0.0,4016016.0,0.0,3515.0,12355225.0,0.0
1977.0,0.0,36.0,18.0,2838.0,12.0,11880.0,18.0,7674.0,2558.0,3.0,2364492.0,1196.0,936540.0,39259.0,3960.0,2558.0,1279.0,9885.0,470526.0,0.0,0.0,1.0,3908529.0,0.0,0.0,102515625.0,10125.0
