year_remod/add,sale_type_New,overall_qual^2,overall_qual exter_qual,overall_qual garage_area,overall_qual garage_cars,overall_qual garage_yr_blt,overall_qual heating_qc,gr_liv_area totrms_abvgrd,gr_liv_area fireplaces,exter_qual garage_type_Detchd,total_bsmt_sf year_remod/add,total_bsmt_sf garage_type_Detchd,garage_area garage_yr_blt,garage_area open_porch_sf,garage_cars garage_yr_blt,1st_flr_sf fireplace_qu,1st_flr_sf garage_type_Detchd,year_built bsmtfin_type_1,year_built wood_deck_sf,garage_finish foundation_PConc,garage_finish garage_type_Attchd,garage_finish foundation_CBlock,year_remod/add^2,sale_type_New^2,garage_type_Attchd lot_area,lot_area^2,lot_area garage_type_Detchd
2005.0,0.0,36.0,24.0,2850.0,12.0,11856.0,30.0,8874.0,0.0,0.0,1453625.0,0.0,938600.0,20900.0,3952.0,0.0,0.0,11856.0,0.0,0.0,2.0,2.0,4020025.0,0.0,13517.0,182709289.0,0.0
1997.0,0.0,49.0,28.0,3913.0,14.0,13979.0,35.0,16976.0,2122.0,0.0,1823261.0,0.0,1116323.0,41366.0,3994.0,2739.0,0.0,11976.0,0.0,2.0,2.0,0.0,3988009.0,0.0,11492.0,132066064.0,0.0
2007.0,0.0,25.0,15.0,1230.0,5.0,9765.0,15.0,5285.0,0.0,3.0,2121399.0,1057.0,480438.0,12792.0,1953.0,0.0,1057.0,11718.0,0.0,0.0,0.0,1.0,4028049.0,0.0,0.0,62758084.0,7922.0
2007.0,0.0,25.0,15.0,2000.0,10.0,10035.0,20.0,10108.0,0.0,0.0,770688.0,0.0,802800.0,0.0,4014.0,0.0,0.0,2006.0,200600.0,3.0,0.0,0.0,4028049.0,0.0,0.0,96079204.0,0.0
1993.0,0.0,36.0,18.0,2904.0,12.0,11742.0,18.0,8670.0,0.0,3.0,1347268.0,676.0,947188.0,28556.0,3914.0,0.0,831.0,1900.0,0.0,1.0,0.0,0.0,3972049.0,0.0,0.0,202635225.0,14235.0
2002.0,0.0,36.0,24.0,3468.0,12.0,11796.0,30.0,11328.0,1888.0,0.0,3037034.0,0.0,1136348.0,0.0,3932.0,7552.0,0.0,9830.0,0.0,0.0,3.0,3.0,4008004.0,0.0,16492.0,271986064.0,0.0
2006.0,1.0,36.0,18.0,3150.0,12.0,12030.0,24.0,5360.0,0.0,0.0,1097282.0,0.0,1052625.0,23100.0,4010.0,0.0,0.0,12030.0,0.0,3.0,0.0,0.0,4024036.0,1.0,0.0,13505625.0,0.0
1959.0,0.0,25.0,15.0,2655.0,10.0,9795.0,10.0,7128.0,0.0,0.0,2327292.0,0.0,1040229.0,0.0,3918.0,0.0,0.0,5877.0,0.0,0.0,2.0,2.0,3837681.0,0.0,12160.0,147865600.0,0.0
1952.0,0.0,25.0,15.0,2100.0,5.0,9760.0,15.0,5544.0,0.0,3.0,1803648.0,924.0,819840.0,136080.0,1952.0,0.0,924.0,5856.0,0.0,0.0,0.0,1.0,3810304.0,0.0,0.0,249103089.0,15783.0
1969.0,0.0,25.0,15.0,2520.0,10.0,9845.0,15.0,18720.0,4160.0,0.0,2047760.0,0.0,992376.0,0.0,3938.0,3120.0,0.0,5907.0,659615.0,1.0,1.0,0.0,3876961.0,0.0,11606.0,134699236.0,0.0
1971.0,0.0,36.0,18.0,1584.0,6.0,11826.0,18.0,3948.0,0.0,3.0,951993.0,483.0,520344.0,0.0,1971.0,0.0,483.0,9855.0,0.0,0.0,0.0,1.0,3884841.0,0.0,0.0,2822400.0,1680.0
2005.0,0.0,49.0,28.0,4424.0,14.0,14035.0,35.0,7248.0,0.0,0.0,2422040.0,0.0,1267160.0,36656.0,4010.0,0.0,0.0,12030.0,210525.0,2.0,2.0,0.0,4020025.0,0.0,7488.0,56070144.0,0.0
2007.0,0.0,25.0,20.0,2880.0,10.0,9500.0,25.0,14112.0,2016.0,0.0,0.0,0.0,1094400.0,0.0,3800.0,3864.0,0.0,0.0,0.0,1.0,1.0,0.0,4028049.0,0.0,26400.0,696960000.0,0.0
2000.0,0.0,64.0,32.0,3840.0,16.0,16000.0,40.0,11249.0,0.0,4.0,1920000.0,960.0,960000.0,0.0,4000.0,0.0,962.0,11994.0,337831.0,1.0,0.0,0.0,4000000.0,0.0,0.0,6996025.0,2645.0
2007.0,0.0,49.0,28.0,4270.0,14.0,14049.0,35.0,8166.0,0.0,0.0,2711457.0,0.0,1224270.0,30500.0,4014.0,0.0,0.0,12042.0,0.0,2.0,2.0,0.0,4028049.0,0.0,9627.0,92679129.0,0.0
2005.0,0.0,25.0,15.0,3120.0,10.0,10020.0,25.0,10010.0,0.0,0.0,2867150.0,0.0,1250496.0,0.0,4008.0,0.0,0.0,2004.0,0.0,2.0,2.0,0.0,4020025.0,0.0,10114.0,102292996.0,0.0
1950.0,0.0,25.0,15.0,2565.0,15.0,9580.0,10.0,9408.0,0.0,3.0,1216800.0,624.0,982908.0,0.0,5748.0,0.0,624.0,1916.0,0.0,0.0,0.0,0.0,3802500.0,0.0,0.0,20894041.0,4571.0
1963.0,0.0,25.0,15.0,2400.0,10.0,9815.0,15.0,5605.0,0.0,3.0,2200523.0,1121.0,942240.0,38400.0,3926.0,0.0,1121.0,5889.0,0.0,1.0,0.0,0.0,3853369.0,0.0,0.0,77721856.0,8816.0
1977.0,0.0,36.0,18.0,3168.0,12.0,11862.0,30.0,8995.0,1285.0,0.0,1304820.0,0.0,1043856.0,0.0,3954.0,3855.0,0.0,1977.0,272826.0,0.0,2.0,2.0,3908529.0,0.0,8197.0,67190809.0,0.0
2009.0,0.0,49.0,21.0,4298.0,14.0,14063.0,35.0,10829.0,0.0,0.0,1518804.0,0.0,1233526.0,27630.0,4018.0,0.0,0.0,12054.0,339521.0,1.0,1.0,0.0,4036081.0,0.0,8640.0,74649600.0,0.0
1968.0,0.0,25.0,15.0,2250.0,10.0,9840.0,20.0,4470.0,894.0,0.0,1759392.0,0.0,885600.0,0.0,3936.0,894.0,0.0,7872.0,0.0,0.0,3.0,3.0,3873024.0,0.0,8724.0,76108176.0,0.0
2000.0,0.0,64.0,32.0,3992.0,16.0,16000.0,40.0,8295.0,1659.0,0.0,3002000.0,0.0,998000.0,29441.0,4000.0,8295.0,0.0,12000.0,424000.0,3.0,3.0,0.0,4000000.0,0.0,5664.0,32080896.0,0.0
2006.0,1.0,64.0,32.0,4600.0,16.0,16040.0,40.0,18024.0,2253.0,0.0,2425254.0,0.0,1152875.0,81650.0,4010.0,4836.0,0.0,2005.0,487215.0,3.0,3.0,0.0,4024036.0,1.0,12867.0,165559689.0,0.0
